Bovine_OF,Bovine_OEV,Feline_OEV,Porcine_OEV,Dunnart_OF,Equine_OF,Human_OF,Canine_OF
SPAG9,,,SEPT11,LANCL2,,,
SPTAN1,,,SEPT2,LAP3,,,
SPTBN1,,,SEPT5,LARP1,,,
SRGAP2,,,SEPT6,LARP7,,,
SRI,,,SEPT7,LARS1,,,
SRP54,,,SEPT8,LCAT,,,
SRP68,,,SEPT9,LCMT1,,,
SRP72,,,SERBP1,LCP1,,,
SRPK1,,,SERINC1,LDHA,,,
SSH3,,,SERPINH1,LDHB,,,
ST13,,,Sf3b1,LDLRAP1,,,
STAM2,,,Sf3b3,LEO1,,,
STAMBP,,,SH3BGRL2,LGALS3,,,
STAT1,,,SH3BP4,LGALSL,,,
STAT3,,,Sh3gl1,LGMN,,,
STAT5B,,,SH3KBP1,LIMS1,,,
STIP1,,,SH3PXD2B,LIN7C,,,
STK10,,,SHANK2,LIPA,,,
STK24,,,SIGMAR1,LLGL1,,,
STK36,,,SKIV2L,LLGL2,,,
STK39,,,Slc12a7,LMAN1,,,
STK4,,,SLC15A2,LMAN2,,,
STOM,,,Slc1a1,LMCD1,,,
STRADA,,,Slc25a5,LMF2,,,
STRAP,,,SLC30A5,LMNB1,,,
STRIP1,,,SLC30A6,LMNB2,,,
STRN,,,Slc31a1,LMO7,,,
STRN3,,,SLC44A1,LMOD1,,,
STUB1,,,SLC5A1,LNPEP,,,
STX12,,,Slc5a6,LOC100913205,,,
STX2,,,SLC6A8,LOC100913245,,,
STX3,,,SLC8A2,LOC100913340,,,
STX7,,,Slc9a3r1,LOC100913427,,,
STXBP1,,,Slc9a3r2,LOC100913653,,,
STXBP2,,,Slit2,LOC100913958,,,
STXBP3,,,SMAD4,LOC100914020,,,
SWAP70,,,SMC1A,LOC100914290,,,
SYNCRIP,,,SMC2,LOC100914408,,,
SYNE2,,,SMC3,LOC100914473,,,
TACC2,,,SMC4,LOC100914473.1,,,
TAGLN2,,,SMG1,LOC100914496,,,
TALDO1,,,Sms,LOC100914588,,,
TAOK1,,,SMYD2,LOC100914654,,,
TAOK3,,,Snap23,LOC100915208,,,
TARBP1,,,SND1,LOC100915609,,,
TARDBP,,,Snrnp200,LOC100915652,,,
TBC1D1,,,Snrpd1,LOC100915670,,,
TBC1D10A,,,Snrpd2,LOC100915785,,,
TBC1D23,,,snrpd3,LOC100915865,,,
TBC1D4,,,SNX1,LOC100915930,,,
TBC1D5,,,Snx2,LOC100915994,,,
TBC1D8B,,,Snx27,LOC100915997,,,
TBCD,,,SNX5,LOC100916389,,,
TBCK,,,SNX6,LOC100916549,,,
TBK1,,,SNX9,LOC100916642,,,
TBL1XR1,,,SORT1,LOC100916735,,,
TCP1,,,SPAG1,LOC100916768,,,
TES,,,Spag6,LOC100916813,,,
TF,,,Spag9,LOC100916813.1,,,
TFCP2,,,SPATS2L,LOC100916907,,,
TFG,,,Spcs2,LOC100917076,,,
TGM2,,,SPCS3,LOC100917086,,,
TIPRL,,,SPEF1,LOC100917098,,,
TJP2,,,SPRR1B,LOC100917146,,,
TKT,,,SPRYD7,LOC100917223,,,
TLN1,,,SPTAN1,LOC100917402,,,
TLN2,,,SPTBN1,LOC100917453,,,
TMC4,,,Sptlc1,LOC100917553,,,
TMED10,,,Sptlc2,LOC100917573,,,
TMED2,,,Sqrdl,LOC100917839,,,
TMED7,,,SRC,LOC100918000,,,
TNFAIP8,,,SRGAP2,LOC100918187,,,
TNPO1,,,Srp54,LOC100918259,,,
TNPO2,,,Srp68,LOC100918281,,,
TNPO3,,,SRP72,LOC100918642,,,
TOM1,,,SRPK1,LOC100918923,,,
TPD52L2,,,Srpx,LOC100918980,,,
TPI1,,,Srr,LOC100919131,,,
TPM3,,,SSA2,LOC100919227,,,
TPP2,,,Ssh3,LOC100919292,,,
TPPP3,,,SSR4,LOC100919523,,,
TRAF6,,,ST13,LOC100919651,,,
TRAPPC11,,,Stam2,LOC100919695,,,
TRAPPC4,,,Stambp,LOC100919759,,,
TRAPPC6B,,,STAT1,LOC100919855,,,
TRAPPC8,,,STAT3,LOC100919984,,,
TRIM25,,,Stat5b,LOC100920101,,,
TRIOBP,,,Stip1,LOC100920165,,,
TRIP11,,,STK10,LOC100920182,,,
TRIP12,,,STK16,LOC100920247,,,
TSC1,,,Stk24,LOC100920443,,,
TSC2,,,Stk25,LOC100920453,,,
TSG101,,,STK36,LOC100920453.1,,,
TSN,,,STK39,LOC100920562,,,
TSTA3,,,Stk4,LOC100920614,,,
TTC21A,,,STOM,LOC100920753,,,
TTC21B,,,STOML3,LOC100920900,,,
TTC25,,,STRADA,LOC100920969,,,
TTC26,,,Strap,LOC100921013,,,
TTC37,,,STRIP1,LOC100921442.1,,,
TTC8,,,Strn,LOC100921760,,,
TTLL12,,,Strn3,LOC100921809,,,
TUBA4A,,,Stt3a,LOC100922149,,,
TUBB4B,,,STT3B,LOC100922461,,,
TUBG1,,,STUB1,LOC100922482,,,
TUBGCP3,,,Stx12,LOC100922596,,,
TWF1,,,STX2,LOC100922607,,,
TWF2,,,Stx3,LOC100922782,,,
TXLNA,,,Stx7,LOC100922849,,,
TXN,,,STXBP1,LOC100923003,,,
TXNDC5,,,STXBP2,LOC100923048,,,
TXNL1,,,STXBP3,LOC100923275,,,
UAP1,,,STXBP5,LOC100923345,,,
UBA1,,,Stxbp6,LOC100923620,,,
UBA6,,,SULT1A2,LOC100923639,,,
UBE2L3,,,Surf4,LOC100923802,,,
UBE2M,,,Swap70,LOC100923835,,,
UBE2Z,,,Syncrip,LOC100923915,,,
UBE3C,,,SYNE1,LOC100923960,,,
UBLCP1,,,SYNE2,LOC100924032,,,
UBR1,,,Sytl1,LOC100924152,,,
UBR2,,,Syvn1,LOC100924346,,,
UBR4,,,TACC2,LOC100924419,,,
UCHL5,,,Tagln2,LOC100924710,,,
UGDH,,,TAOK1,LOC100924827,,,
UHRF1BP1L,,,TAOK3,LOC100924919,,,
UMPS,,,TARBP1,LOC100925190,,,
UNC45A,,,tardbp,LOC100925261,,,
UPF1,,,Tars,LOC100925390,,,
UPF2,,,TBC1D1,LOC100925494,,,
UPK1B,,,TBC1D10A,LOC100925541,,,
UPRT,,,Tbc1d10b,LOC100925641,,,
USO1,,,TBC1D23,LOC100925808,,,
USP14,,,TBC1D4,LOC100925873,,,
USP15,,,TBC1D5,LOC100925940,,,
USP19,,,TBC1D8B,LOC100925942,,,
USP24,,,TBCD,LOC100926253,,,
USP47,,,TBCK,LOC100926310,,,
USP5,,,TBK1,LOC100926438,,,
USP7,,,TBL1XR1,LOC100926484.1,,,
USP9X,,,TCP1,LOC100926505,,,
UTRN,,,TCTE1,LOC100926570,,,
VAMP3,,,TECR,LOC100926719,,,
VASP,,,TEKT1,LOC100926836,,,
VAT1,,,Tekt3,LOC100926881,,,
VBP1,,,TEKT4,LOC100927026,,,
VCAN,,,TENM4,LOC100927091,,,
VCL,,,TES,LOC100927108,,,
VCP,,,TFCP2,LOC100927203,,,
VCPIP1,,,TFG,LOC100927223,,,
VPS11,,,Tfrc,LOC100927276,,,
VPS13C,,,TGas006m08.1,LOC100927409,,,
VPS16,,,TGFBRAP1,LOC100927605,,,
VPS18,,,TGM2,LOC100927944,,,
VPS26A,,,TGM3,LOC100928142,,,
VPS26B,,,THBS3,LOC100928439,,,
VPS29,,,THSD4,LOC100928456,,,
VPS33B,,,Tiprl,LOC100928777,,,
VPS35,,,TJP2,LOC100928872,,,
VPS36,,,TKT,LOC100928890,,,
VPS4A,,,TLN1,LOC100929216,,,
VPS4B,,,TLN2,LOC100929360,,,
VPS51,,,TM9SF1,LOC100929421,,,
VPS52,,,TM9SF2,LOC100929463,,,
VWA7,,,TM9SF3,LOC100930150,,,
WDR1,,,TM9SF4,LOC100930244,,,
WDR11,,,TMED1,LOC100930325,,,
WDR19,,,TMED10,LOC100930430,,,
WDR26,,,Tmed2,LOC100930436,,,
WDR35,,,TMED3,LOC100930478,,,
WDR37,,,Tmed4,LOC100930484,,,
WDR47,,,TMED5,LOC100930529,,,
WDR48,,,Tmed7,LOC100930545,,,
WDR54,,,TMED9,LOC100930609,,,
WDR61,,,TMEM30A,LOC100930770,,,
WDR91,,,TMEM30B,LOC100930828,,,
WDR92,,,TMEM43,LOC100930829,,,
XPNPEP1,,,Tmem67,LOC100930829.1,,,
XPO1,,,TMEM87A,LOC100930850,,,
XPO5,,,Tnfaip8,LOC100931141,,,
XPO7,,,TNPO1,LOC100931196,,,
XRCC5,,,Tnpo2,LOC100931469,,,
YBX1,,,TNPO3,LOC100931486,,,
YES1,,,TOM1,LOC100931898,,,
YKT6,,,TOM2A,LOC100931899,,,
YPEL5,,,TOMM40,LOC100932187,,,
YWHAB,,,TOMM70A,LOC100932208,,,
YWHAE,,,Tpd52l2,LOC100932429,,,
YWHAG,,,TPI1,LOC100932522,,,
YWHAH,,,Tpm3,LOC100932537,,,
YWHAQ,,,TPP2,LOC100932646,,,
YWHAZ,,,TPPP3,LOC100932693,,,
ZFYVE16,,,Tprg1l,LOC100932742,,,
ZMYND10,,,TRAF2,LOC100932765,,,
ZNFX1,,,Traf3,LOC100932783,,,
ZW10,,,TRAF6,LOC100932786,,,
ZZEF1,,,Tram1,LOC100932919,,,
,,,TRAPPC1,LOC100933026,,,
,,,TRAPPC11,LOC100933051,,,
,,,TRAPPC4,LOC100933396,,,
,,,Trappc6b,LOC100933548,,,
,,,TRAPPC8,LOC100933747,,,
,,,TRIM25,LOC100934104,,,
,,,TRIM29,LOC100934314,,,
,,,TRIO,LOC100934317,,,
,,,TRIOBP,LOC100934513,,,
,,,TRIP11,LOC100934526,,,
,,,TRIP12,LOC100934580,,,
,,,TROVE2,LOC100934670,,,
,,,TSC1,LOC100934717,,,
,,,TSC2,LOC100934869,,,
,,,TSG101,LOC100934962,,,
,,,TSN,LOC100935043,,,
,,,Tspan14,LOC100935065,,,
,,,TSPAN6,LOC100935198,,,
,,,Tsta3,LOC100935369,,,
,,,TTC21A,LOC105749276,,,
,,,TTC21B,LOC105749295,,,
,,,TTC25,LOC105749564,,,
,,,TTC26,LOC105749589,,,
,,,TTC37,LOC105750336,,,
,,,TTC7B,LOC105750365,,,
,,,TTC8,LOC105751110,,,
,,,TTLL12,LOC111718876,,,
,,,Tuba4a,LOC111719270,,,
,,,TUBB,LOC111719513,,,
,,,TUBG1,LOC111719515,,,
,,,TUBGCP3,LOC111719883,,,
,,,TUFM,LOC111719988,,,
,,,TWF1,LOC111720255,,,
,,,TWF2,LOC111720324,,,
,,,TXLNA,LOC111720987,,,
,,,Txlng,LOC111721155,,,
,,,TXNDC5,LOC116419411,,,
,,,Txnl1,LOC116420445,,,
,,,UAP1,LOC116420588,,,
,,,UBA1,LOC116420772,,,
,,,UBA6,LOC116421631,,,
,,,Ube2l3,LOC116421942,,,
,,,Ube2m,LOC116422509,,,
,,,UBE2Z,LOC116422623,,,
,,,UBE3B,LOC116422646,,,
,,,UBE3C,LOC116423026,,,
,,,UBLCP1,LOC116423214,,,
,,,UBR1,LOC116423223,,,
,,,Ubr2,LOC116423422,,,
,,,UBR4,LOC116423646,,,
,,,UCHL5,LONP1,,,
,,,Uckl1,LPP,,,
,,,UFL1,LRATD2,,,
,,,UFSP2,LRBA,,,
,,,UGDH,LRG1,,,
,,,UGT2B15,LRP1,,,
,,,UHRF1BP1L,LRPPRC,,,
,,,UMPS,LRRC40,,,
,,,Unc13b,LRRC47,,,
,,,UNC13D,LRRC59,,,
,,,Unc45a,LRRN4,,,
,,,UPF1,LSG1,,,
,,,UPF2,LSM14A,,,
,,,UPRT,LSM2,,,
,,,UQCRC1,LSM4,,,
,,,Uso1,LSM6,,,
,,,Usp14,LSM7,,,
,,,USP15,LUM,,,
,,,USP19,LXN,,,
,,,USP24,LY6H,,,
,,,Usp34,LYG1,,,
,,,USP47,LYN,,,
,,,Usp5,LYPLA1,,,
,,,Usp7,LYPLA2,,,
,,,USP9X,LYZ,,,
,,,UTRN,LZIC,,,
,,,VAMP3,M6PR,,,
,,,VAMP4,MACF1,,,
,,,VARS,MACF1.1,,,
,,,VAT1,MACROD1,,,
,,,VAV1,MAGOH,,,
,,,Vbp1,MALT1,,,
,,,VCAN,MAN1A1,,,
,,,VCL,MAN2A1,,,
,,,VCP,MAN2B1,,,
,,,VCPIP1,MAN2C1,,,
,,,VDAC1,MANF,,,
,,,VDAC2,MAP1B,,,
,,,VDAC3,MAP1S,,,
,,,VNN2,MAP2K1,,,
,,,Vps11,MAP2K2,,,
,,,VPS13C,MAP2K3,,,
,,,VPS16,MAP2K4,,,
,,,Vps18,MAP2K6,,,
,,,Vps26a,MAP3K20,,,
,,,Vps26b,MAP4,,,
,,,VPS29,MAP4K4,,,
,,,Vps33a,MAPK14.1,,,
,,,VPS33B,MAPK3,,,
,,,Vps35,MAPK9,,,
,,,VPS36,MAPKAPK2,,,
,,,VPS39,MAPRE1,,,
,,,VPS41,MAPRE2,,,
,,,VPS4A,MAPRE3,,,
,,,VPS4B,MARCKS,,,
,,,Vps51,MARK2,,,
,,,VPS52,MARS1,,,
,,,Vps8,MAT2A,,,
,,,WARS,MAT2B,,,
,,,Wdfy3,MATR3,,,
,,,WDR1,MB,,,
,,,WDR11,MBNL1,,,
,,,Wdr19,MCCC1,,,
,,,WDR20,MCCC2,,,
,,,Wdr26,MCM2,,,
,,,WDR35,MCM3,,,
,,,Wdr37,MCM4,,,
,,,Wdr47,MCM5,,,
,,,Wdr48,MCM6,,,
,,,WDR61,MCM7,,,
,,,WDR63,MCMBP,,,
,,,WDR66,MCTS1,,,
,,,WDR7,MCU,,,
,,,WDR78,MDH1,,,
,,,WDR91,MDH2,,,
,,,WDR92,ME1,,,
,,,Wnt2,ME2,,,
,,,XPNPEP1,MECR,,,
,,,XPO1,MEIS1,,,
,,,XPO5,MEMO1,,,
,,,XPO7,MEPCE,,,
,,,XPR1,MESD,,,
,,,XRCC5,METAP1,,,
,,,Yars,METTL16,,,
,,,YBX1,METTL3,,,
,,,Yes1,MFAP4,,,
,,,YIF1A,MGAT1,,,
,,,Ykt6,MGAT2,,,
,,,Ypel5,MGLL,,,
,,,YTHDC2,MGST3,,,
,,,YWHAB,MICAL1,,,
,,,Ywhae,MICOS13,,,
,,,Ywhag,MIF,,,
,,,Ywhah,MINDY1,,,
,,,YWHAQ,MINPP1,,,
,,,YWHAZ,MISP3,,,
,,,ZFYVE16,MLEC,,,
,,,ZMPSTE24,MLST8,,,
,,,ZMYND10,MME,,,
,,,ZNFX1,MMP7,,,
,,,ZSWIM8,MMS19,,,
,,,ZW10,MMUT,,,
,,,ZZEF1,MNS1,,,
,,,,MOB1A,,,
,,,,MOB2,,,
,,,,MOCS2,,,
,,,,MON2,,,
,,,,MPC2,,,
,,,,MPDU1,,,
,,,,MPDZ,,,
,,,,MPI,,,
,,,,MPP5,,,
,,,,MPRIP,,,
,,,,MPST,,,
,,,,MPZ,,,
,,,,MRC1,,,
,,,,MRC2,,,
,,,,MRI1,,,
,,,,MSLN,,,
,,,,MSRA,,,
,,,,MSRB3,,,
,,,,MTA2,,,
,,,,MTAP,,,
,,,,MTCH2,,,
,,,,MTHFD1,,,
,,,,MTHFD1L,,,
,,,,MTMR1,,,
,,,,MTMR10,,,
,,,,MTMR12,,,
,,,,MTMR2,,,
,,,,MTMR6,,,
,,,,MTMR9,,,
,,,,MTOR,,,
,,,,MTPN,,,
,,,,MTREX,,,
,,,,MTX3,,,
,,,,MUC5AC,,,
,,,,MVD,,,
,,,,MVK,,,
,,,,MVP,,,
,,,,MYBBP1A,,,
,,,,MYCBP2,,,
,,,,MYDGF,,,
,,,,MYH10,,,
,,,,MYH9,,,
,,,,MYL1,,,
,,,,MYL6,,,
,,,,MYL9,,,
,,,,MYO1B,,,
,,,,MYO1C,,,
,,,,MYO1D,,,
,,,,MYO1E,,,
,,,,MYO5B,,,
,,,,MYO6,,,
,,,,MYO9B,,,
,,,,MYOF,,,
,,,,NAA15,,,
,,,,NAA16,,,
,,,,NAA25,,,
,,,,NAA50,,,
,,,,NACA.1,,,
,,,,NADSYN1,,,
,,,,NAE1,,,
,,,,NAGA,,,
,,,,NAGK,,,
,,,,NAGLU,,,
,,,,NAMPT,,,
,,,,NANP,,,
,,,,NANS,,,
,,,,NAP1L1,,,
,,,,NAP1L4,,,
,,,,NAPA,,,
,,,,NARS1,,,
,,,,NASP,,,
,,,,NAXD,,,
,,,,NBEAL2,,,
,,,,NCBP1,,,
,,,,NCDN,,,
,,,,NCEH1,,,
,,,,NCK1,,,
,,,,NCL,,,
,,,,NCLN,,,
,,,,NCOA2,,,
,,,,NCSTN,,,
,,,,NDRG1,,,
,,,,NDRG2,,,
,,,,NDRG3,,,
,,,,NDRG4,,,
,,,,NDUFA10,,,
,,,,NDUFA13,,,
,,,,NDUFA6,,,
,,,,NDUFA8,,,
,,,,NDUFA9,,,
,,,,NDUFB4,,,
,,,,NDUFB7,,,
,,,,NDUFS1,,,
,,,,NDUFS2,,,
,,,,NDUFS3,,,
,,,,NDUFS4,,,
,,,,NDUFS5,,,
,,,,NDUFS6,,,
,,,,NDUFS7,,,
,,,,NDUFV1,,,
,,,,NECAP1,,,
,,,,NECAP2,,,
,,,,NEDD4L,,,
,,,,NEK7,,,
,,,,NEK9,,,
,,,,NELFB,,,
,,,,NELFCD,,,
,,,,NEXN,,,
,,,,NFKB1,,,
,,,,NFKBIE,,,
,,,,NFS1,,,
,,,,NFYC,,,
,,,,NGLY1,,,
,,,,NHLRC2,,,
,,,,NIBAN1,,,
,,,,NIBAN2,,,
,,,,NID2,,,
,,,,NIF3L1,,,
,,,,NIPSNAP2,,,
,,,,NIT1,,,
,,,,NIT2,,,
,,,,NLN,,,
,,,,NLRX1,,,
,,,,NME2,,,
,,,,NME7,,,
,,,,NMNAT1,,,
,,,,NMRAL1,,,
,,,,NMT1,,,
,,,,NMT2,,,
,,,,NNT,,,
,,,,NOL3,,,
,,,,NONO,,,
,,,,NOP58,,,
,,,,NPC1,,,
,,,,NPEPL1,,,
,,,,NPL,,,
,,,,NPLOC4,,,
,,,,NPM1,,,
,,,,NPTN,,,
,,,,NQO1,,,
,,,,NR3C1,,,
,,,,NRBP1,,,
,,,,NRBP2,,,
,,,,NRDC,,,
,,,,NRIP2,,,
,,,,NSDHL,,,
,,,,NSF,,,
,,,,NSFL1C,,,
,,,,NSUN2,,,
,,,,NT5C,,,
,,,,NT5C3B,,,
,,,,NT5DC1,,,
,,,,NT5E,,,
,,,,NUB1,,,
,,,,NUBP2,,,
,,,,NUCB2,,,
,,,,NUCKS1,,,
,,,,NUDC,,,
,,,,NUDCD1,,,
,,,,NUDCD2,,,
,,,,NUDCD3,,,
,,,,NUDT12,,,
,,,,NUDT2,,,
,,,,NUDT21,,,
,,,,NUDT3,,,
,,,,NUDT5,,,
,,,,NUMA1,,,
,,,,NUMB,,,
,,,,NUP160,,,
,,,,NUP214,,,
,,,,NUP88,,,
,,,,NUP93,,,
,,,,NUTF2,,,
,,,,OARD1,,,
,,,,OAS3,,,
,,,,OAT,,,
,,,,OGDH,,,
,,,,OGFOD1,,,
,,,,OGFR,,,
,,,,OGN,,,
,,,,OGT,,,
,,,,OLA1,,,
,,,,OLFM4,,,
,,,,OPA1,,,
,,,,OPLAH,,,
,,,,OPTN,,,
,,,,ORM1,,,
,,,,OSBP,,,
,,,,OSBPL10,,,
,,,,OSBPL2,,,
,,,,OSBPL3,,,
,,,,OSBPL9,,,
,,,,OSCP1,,,
,,,,OSGEP,,,
,,,,OTUB1,,,
,,,,OTUD4,,,
,,,,OVCA2,,,
,,,,OXCT1,,,
,,,,OXR1,,,
,,,,OXSR1,,,
,,,,P4HA1,,,
,,,,P4HA2,,,
,,,,P4HB,,,
,,,,PA2G4,,,
,,,,PABPC1,,,
,,,,PABPC4,,,
,,,,PACS1,,,
,,,,PACSIN2,,,
,,,,PACSIN3,,,
,,,,PAFAH1B1,,,
,,,,PAFAH1B2,,,
,,,,PAFAH1B3,,,
,,,,PAICS,,,
,,,,PAIP1,,,
,,,,PAK1,,,
,,,,PALD1,,,
,,,,PALLD,,,
,,,,PALM,,,
,,,,PALMD,,,
,,,,PANK2,,,
,,,,PANK4,,,
,,,,PAOX,,,
,,,,PAPOLA,,,
,,,,PAPSS1,,,
,,,,PAPSS2,,,
,,,,PARD3,,,
,,,,PARG,,,
,,,,PARK7,,,
,,,,PARVA,,,
,,,,PC,,,
,,,,PCBP2,,,
,,,,PCCA,,,
,,,,PCCB,,,
,,,,PCMT1,,,
,,,,PCNA,,,
,,,,PCOLCE,,,
,,,,PCTP,,,
,,,,PCYOX1,,,
,,,,PCYT2,,,
,,,,PDAP1,,,
,,,,PDCD10,,,
,,,,PDCD4,,,
,,,,PDCD5,,,
,,,,PDCD6,,,
,,,,PDCD6IP,,,
,,,,PDCL3,,,
,,,,PDE12,,,
,,,,PDE5A,,,
,,,,PDE6D,,,
,,,,PDHA1,,,
,,,,PDHB,,,
,,,,PDIA4,,,
,,,,PDIA6,,,
,,,,PDK3,,,
,,,,PDLIM1,,,
,,,,PDLIM3,,,
,,,,PDLIM4,,,
,,,,PDLIM5,,,
,,,,PDLIM7,,,
,,,,PDP1,,,
,,,,PDPR,,,
,,,,PDXK,,,
,,,,PDXP,,,
,,,,PEA15,,,
,,,,PEAK1,,,
,,,,PEBP1,,,
,,,,PEF1,,,
,,,,PELO,,,
,,,,PELP1,,,
,,,,PEPD,,,
,,,,PEX1,,,
,,,,PEX5,,,
,,,,PEX6,,,
,,,,PFAS,,,
,,,,PFDN2,,,
,,,,PFDN6,,,
,,,,PFKFB2,,,
,,,,PFKFB4,,,
,,,,PFKL,,,
,,,,PFKM,,,
,,,,PFKP,,,
,,,,PFN1,,,
,,,,PFN2,,,
,,,,PGAM1,,,
,,,,PGD,,,
,,,,PGGT1B,,,
,,,,PGK1,,,
,,,,PGLS,,,
,,,,PGM1,,,
,,,,PGM2,,,
,,,,PGM2L1,,,
,,,,PGM3,,,
,,,,PGP,,,
,,,,PGPEP1,,,
,,,,PGR,,,
,,,,PGRMC2,,,
,,,,PHB2,,,
,,,,PHF5A,,,
,,,,PHKA2,,,
,,,,PHKB,,,
,,,,PHLDB1,,,
,,,,PHPT1,,,
,,,,PHYHD1,,,
,,,,PHYKPL,,,
,,,,PI16,,,
,,,,PI4K2A,,,
,,,,PI4KB,,,
,,,,PIBF1,,,
,,,,PICALM.2,,,
,,,,PICK1,,,
,,,,PIGT,,,
,,,,PIK3R4,,,
,,,,PIN1,,,
,,,,PIP4K2A,,,
,,,,PIP4K2C,,,
,,,,PIR,,,
,,,,PITHD1,,,
,,,,PITPNA,,,
,,,,PITPNM1,,,
,,,,PITRM1,,,
,,,,PKN1,,,
,,,,PKN2,,,
,,,,PLA2G4A,,,
,,,,PLAA,,,
,,,,PLBD1,,,
,,,,PLBD2,,,
,,,,PLCB1,,,
,,,,PLCB3,,,
,,,,PLCB4,,,
,,,,PLCD1,,,
,,,,PLCG1,,,
,,,,PLCL1,,,
,,,,PLEC,,,
,,,,PLEK,,,
,,,,PLEKHO2,,,
,,,,PLG,,,
,,,,PLIN2,,,
,,,,PLIN3,,,
,,,,PLOD1,,,
,,,,PLOD3,,,
,,,,PLPBP,,,
,,,,PLRG1,,,
,,,,PLS1,,,
,,,,PLS3,,,
,,,,PLTP,,,
,,,,PLXDC2,,,
,,,,PLXNB2,,,
,,,,PMPCA,,,
,,,,PNP,,,
,,,,POFUT1,,,
,,,,POFUT2,,,
,,,,POLD1,,,
,,,,POLD2,,,
,,,,POLR1C,,,
,,,,POLR2A,,,
,,,,POLR2B,,,
,,,,POLR2H,,,
,,,,POSTN,,,
,,,,PPA1,,,
,,,,PPA2,,,
,,,,PPAT,,,
,,,,PPFIBP1,,,
,,,,PPIA,,,
,,,,PPIB,,,
,,,,PPIF,,,
,,,,PPIH,,,
,,,,PPIP5K2,,,
,,,,PPL,,,
,,,,PPM1A,,,
,,,,PPM1B,,,
,,,,PPM1G,,,
,,,,PPME1,,,
,,,,PPP1CA,,,
,,,,PPP1CB,,,
,,,,PPP1R11,,,
,,,,PPP1R12A,,,
,,,,PPP1R12C,,,
,,,,PPP1R2,,,
,,,,PPP1R21,,,
,,,,PPP1R7.1,,,
,,,,PPP1R8,,,
,,,,PPP2CA,,,
,,,,PPP2R1A,,,
,,,,PPP2R1B,,,
,,,,PPP2R2D,,,
,,,,PPP2R5A,,,
,,,,PPP2R5C,,,
,,,,PPP2R5D,,,
,,,,PPP2R5E,,,
,,,,PPP3CA,,,
,,,,PPP3CB,,,
,,,,PPP4C,,,
,,,,PPP4R1,,,
,,,,PPP4R3A,,,
,,,,PPP4R3B,,,
,,,,PPP5C,,,
,,,,PPP6C,,,
,,,,PPP6R2,,,
,,,,PPP6R3,,,
,,,,PPT1,,,
,,,,PRDX1,,,
,,,,PRDX2,,,
,,,,PRDX3,,,
,,,,PRDX4,,,
,,,,PRDX5,,,
,,,,PRDX6,,,
,,,,PRELP,,,
,,,,PREP,,,
,,,,PRG4,,,
,,,,PRKAA1,,,
,,,,PRKAB1,,,
,,,,PRKAB2,,,
,,,,PRKACA,,,
,,,,PRKAG2,,,
,,,,PRKAR1A,,,
,,,,PRKAR1B,,,
,,,,PRKAR2A,,,
,,,,PRKAR2B,,,
,,,,PRKCD,,,
,,,,PRKCI,,,
,,,,PRKCSH,,,
,,,,PRKCZ,,,
,,,,PRKD1,,,
,,,,PRKD2,,,
,,,,PRKG1,,,
,,,,PRMT1,,,
,,,,PRMT3,,,
,,,,PRMT7,,,
,,,,PROC,,,
,,,,PROS1,,,
,,,,PRPF19,,,
,,,,PRPF39,,,
,,,,PRPF8,,,
,,,,PRPS2,,,
,,,,PRPSAP1,,,
,,,,PRPSAP2,,,
,,,,PRRC1,,,
,,,,PRRC2A,,,
,,,,PRRC2C,,,
,,,,PRUNE1,,,
,,,,PRXL2A,,,
,,,,PSAP,,,
,,,,PSAT1,,,
,,,,PSIP1,,,
,,,,PSMA1,,,
,,,,PSMA2,,,
,,,,PSMA3,,,
,,,,PSMA4,,,
,,,,PSMA5,,,
,,,,PSMA6,,,
,,,,PSMA7,,,
,,,,PSMB1,,,
,,,,PSMB2,,,
,,,,PSMB4,,,
,,,,PSMB6,,,
,,,,PSMB7,,,
,,,,PSMB8,,,
,,,,PSMC1,,,
,,,,PSMC2,,,
,,,,PSMC3,,,
,,,,PSMC4,,,
,,,,PSMC5,,,
,,,,PSMC6,,,
,,,,PSMD1,,,
,,,,PSMD10,,,
,,,,PSMD11,,,
,,,,PSMD13,,,
,,,,PSMD14,,,
,,,,PSMD2,,,
,,,,PSMD4,,,
,,,,PSMD5,,,
,,,,PSMD6,,,
,,,,PSMD7,,,
,,,,PSMD8,,,
,,,,PSMD9,,,
,,,,PSME3,,,
,,,,PSME4,,,
,,,,PSMF1,,,
,,,,PSMG1,,,
,,,,PSMG3,,,
,,,,PSPC1,,,
,,,,PSPH,,,
,,,,PTBP1,,,
,,,,PTBP3,,,
,,,,PTEN,,,
,,,,PTER,,,
,,,,PTGES2,,,
,,,,PTGES3,,,
,,,,PTGR2,,,
,,,,PTGS1,,,
,,,,PTK2,,,
,,,,PTK2B,,,
,,,,PTK7,,,
,,,,PTPA,,,
,,,,PTPN11,,,
,,,,PTPN12,,,
,,,,PTPN13,,,
,,,,PTPN23,,,
,,,,PTPN6,,,
,,,,PTPN9,,,
,,,,PTPRC,,,
,,,,PTRH2,,,
,,,,PUDP,,,
,,,,PUF60,,,
,,,,PUM1,,,
,,,,PUM2,,,
,,,,PURA,,,
,,,,PURB,,,
,,,,PUS1,,,
,,,,PUS10,,,
,,,,PUS7,,,
,,,,PXDN,,,
,,,,PXN,,,
,,,,PYCARD,,,
,,,,PYCR1,,,
,,,,PYCR3,,,
