BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
ERC1,GAPDH,ERLEC1,CHMP4B,H4C15,BANF1,DHDH,,BMS1
ERGIC1,GAPDHS,Erlin2,CHMP5,NCL,SERBP1,PSA3,,BNIP1
ERO1A,GART,ERP44,CHMP7,CP,,RL11,,BNIP2
ERP29,GAS2L2,Esrp1,CHN1,RPS11,PSMA6,PSA4,,BOD1L1
ERP44,GAS8,ESYT1,CHORDC1,PPM1B,RPS8,ANGT,,BOK
ESD,GBAS,Etf1,CHUK,PFDN2,RAB5C,RL6,,BOLA2
ESRP1,GBE1,Evi5,CIAO1,RPL17-C18orf32,PSMB4,GSTO1,,BOLA2B
ETF1,GC,EVPL,CIAO2B,CHORDC1,CHCHD2,UBE2N,,BOP1
ETFA,GCDH,EXOC1,CIAPIN1,GMDS,H2AFX,PSA1,,BORCS5
EWSR1,GDI1,Exoc3,CIRBP,SSB,ARHGAP1,CAZA1,,BORCS6
EXOC1,GDI2,EXOC4,CISD1,PFN1,SGTA,CRIP2,,BPGM
EXOC3,GFAP,EXOC6,CISD2,NUDT3,EHD2,APEX1,,BPI
EXOC4,GFPT1,EXOC6B,CIZ1,EIF4H,RELL2,PSMD5,,BPNT1
EXOC6,GGT1,Exoc7,CKAP5,ENSECAG00000024902,SRM,RS4X,,BPNT2
EXOC6B,GIPC1,FAF2,CKB,COPS7A,CSNK2B,RL19,,BRAT1
EXOC7,GLG1,Faim,CLASP1,UAP1L1,PRDX3,WDR1,,BRCC3
EZR,GLIPR2,FAM107B,CLASP2,FGGY,MGST3,TEBP,,BRD4
F13A1,GLO1,FAM120A,CLDN1,RAP1GDS1,ACADM,INO1,,BRD8
F2,GLOD4,FAM126A,CLEC3B,NAP1L4,RPS15A,RS20,,BRI3BP
FABP3,GLUD1,Fam129b,CLIC1,COPS6,SEC13,PHS,,BRIX1
FABP5,GLUL,Fam175b,CLIC2,S100A11,HADHB,RS8,,BRK1
FAM107B,GLYCTK,FAM3C,CLIC3,CPPED1,LOC611750,RL12,,BRMS1L
FAM120A,GMPPA,FAM49B,CLIC4,GPI,MYL3,RS3A,,BROX
FAM3C,GMPPB,Fam65a,CLIC5,ALDH1A1,ARF5,F12AI,,BRSK1
FAM91A1,GNA11,FAM65B,CLIC6,SH3BGRL,AIMP2,EZRI,,BRWD1
FAM98A,GNA12,FAM84A,CLINT1,FDPS,DAZAP1,PSB4,,BSCL2
FARP1,GNA13,FAM84B,CLIP1.1,RPS21,RAD23B,ACTB,,BSDC1
FARSA,GNA14,Fam91a1,CLNS1A,PAPSS1,GSTM4,HBB,,BSG
FARSB,GNAI1,FAM98A,CLPP,SCGB1A1,SNRPD1,ESTD,,BST1
FASN,GNAI2,FARP1,CLTA,RPL14,ACADVL,EF1D,,BST2
FBXO3,gnai3,FARSA,CLTB,DERA,MAT2A,1433G,,BTD
FBXW9,GNAL,FARSB,CLTC,ADSS2,PHB2,SAHH,,BTF3
FERMT1,GNAQ,FASN,CLU,ENSECAG00000019585,LOC100683724,FRIH,,BTF3L4
FERMT2,GNAS,FBXL18,CLUH,BIN1,HMGB1,RLA0L,,BTK
FGA,GNAT1,FBXL20,CMBL,RPL15,NDUFB8,CRYM,,BTN3A3
FGB,GNAT2,FBXO3,CMPK1,CZIB,AK2,ARPC4,,BUB3
FGG,GNAT3,FER,CNBP,PFDN4,MAP4,ANXA5,,BUD31
FH,GNAZ,FERMT1,CNDP1,LGALS3,FLNA,RS3,,BYSL
FHL1,GNB1,FERMT2,CNDP2,VNN1,PSMB2,SPB5,,BZW1
FKBP2,GNB2,Fgg,CNN1,ENSECAG00000040667,RRAS,ITIH2,,BZW2
FKBP3,GNB4,FGR,CNN2,LZIC,RPS15,HMGB1,,C11orf52
FKBP4,GNE,Fhl1,CNN3,PAFAH1B2,RPL13,CK070,,C11orf54
FLII,GNG12,FIBP,CNOT1,RANBP1,SUCLG1,AK1A1,,C11orf68
FLNA,GOLGB1,FKBP11,CNOT11,RPL10A,VIM,HVM47,,C11orf96
FLNB,GOSR2,Fkbp2,CNOT7,EIF3B,TUFM,6PGD,,C12orf57
FLNC,GOT2,Fkbp3,CNOT9,TCEA1,PLS3,TCPH,,C17orf75
FLOT1,GPD1L,FKBP4,CNP,ME1,DYNLT1,VINC,,C19orf12
FMR1,GPI,FLNA,CNPY2,ARL3,HSPB1,DDAH2,,C19orf25
FN1,GPM6A,FLNB,CNRIP1,ATP6V1E1,AMIGO3,SND1,,C19orf54
FN3KRP,GPT2,FLOT1,CNTRL,EIF3H,LPP,K1C18,,C1GALT1
FNTA,GRHPR,Flot2,COASY,ISOC1,VAMP3,1433B,,C1QA
FOLR1,GRID1,FMNL2,COBLL1,CFAP298-TCP10L,CSRP1,PGK1,,C1QB
FRK,GSN,Fmr1,COG1,GNPDA1,AGPS,ROA1,,C1QBP
FRY,GSR,FN1,COG2,IRGQ,FXYD6,PARK7,,C1QC
FRYL,GSS,FNDC3A,COG3,SARS1,TXNDC5,K1C19,,C1QL4
FSD1L,GSTK1,Fnta,COG4,EIF3F,RPL15,ALDOA,,C1QTNF6
FTH1,GSTP1,FOLH1B,COG5,ILF3,,RL7A,,C1R
FUBP1,GTF2I,Frk,COG6,ACTR1B,SEC22B,HBA1,,C1RL
FUS,GUSB,FRY,COG7,RNASEH1,CCDC88A,TPPP3,,C1S
FXR1,H3F3A,FRYL,COG8,LCP1,NCL,GDIB,,C1orf198
G6PD,H6PD,FSD1L,COL12A1,RPL27,NME2,SYWC,,C1orf50
GAK,HACD3,FTH1,COL18A1,TPT1,NME1,IQGA2,,C1orf52
GALK1,HADH,FUK,COL1A1,S100A13,DAD1,ROA2,,C2
GALM,HADHA,Fxr1,COL1A2,CRK,CCDC187,ILEU,,C20orf27
GALNT12,HADHB,G6pdx,COL6A1,GYG1,MARCKSL1,SYTC,,C2CD5
GALNT7,HAGH,Gak,COL6A3,EIF3I,RRAS2,ANXA8,,C3
GANAB,HARS,Galnt1,COLGALT1,KHSRP,RPL12,IMB1,,C4A
GAPDH,HBE1,GALNT12,COMMD4,ENSECAG00000034606,TBCB,LASP1,,C4B
GAPDHS,HBQ1,GALNT2,COMMD7,NAXE,YWHAH,PRDX6,,C4BPA
GART,HDAC1,GALNT3,COMMD9,UBE2K,HIST1H2BJ,PSA7,,C4BPB
GBE1,HDAC2,GALNT4,COPA,HMGB1,SMC5,PYGL,,C4B_2
GBF1,HDDC3,GALNT7,COPB1,RPS12,FAU,FETUA,,C5
GC,HDGF,GAPDH,COPB2,TGM1,FABP3,RS25,,C5orf22
GCC2,HEBP1,Gars,COPE,SYNGR2,IQGAP1,APOA4,,C6
GCLM,HELZ2,GART,COPG1,ARRB1,PRDX1,SBP1,,C7
GDA,HEXA,Gas8,COPG2,GSTA4,NDUFA2,K2C5,,C7orf50
GDI1,HEXB,GBE1,COPS2,RSU1,SNRPD2,CAPZB,,C8A
GDI2,HIBCH,GBF1,COPS3,MTPN,ATP5PO,S14L3,,C8B
GEMIN5,HK1,GCC2,COPS5,CARS1,RPL35,TALDO,,C8G
GFAP,HK2,Gclm,COPS6,MHCX1,PGD,HS90A,,C8orf82
GFOD2,HKDC1,GCN1L1,COPS7A,DDX3X,CELSR3,XPP1,,C9
GFPT1,HM13,Gcnt3,COPS7B,AP2S1,,THIO,,C9orf64
GGT1,HMGB1,Gda,COPS8,PGGT1B,,MDHC,,CA1
GIPC1,HMGB2,GDI1,COPZ1,S100A16,HMCN2,CBR3,,CA14
GIT1,HMGCL,GEMIN5,COQ9,NAE1,ACTC1,ENOA,,CA2
GLIPR2,HMGN1,get4-a,CORO1A,DHRS11,RPS11,PRDX5,,CA3
GLO1,HMOX2,Gfod2,CORO1C,PAK2,LOC483167,CAYP1,,CA4
GLOD4,HNRNPA0,GIPC1,CORO2A,OSGEP,RPL27,PLMN,,CAB39
GLUD1,HNRNPA1,GIT1,CORO6,DCUN1D1,ZBTB33,PSMD2,,CAB39L
GLUL,HNRNPA2B1,Gja1,COTL1,CDV3,RIDA,S10AB,,CABIN1
GMDS,HNRNPA3,GLG1,CPB2,TPM4 ,SERPINB1,AATC,,CACNA2D1
GMPPA,HNRNPAB,GLIPR2,CPD,NAGK,PPP2R1B,ANXA1,,CACUL1
GMPPB,HNRNPC,Glod4,CPN2,LGALSL,YWHAG,1433T,,CACYBP
GMPR2,HNRNPD,GLT8D1,CPNE3,PYCR3,HADH,CAH1,,CAD
GNA11,HNRNPF,GLUD1,CPQ,ARPC1B,CLIC5,CI064,,CADM1
GNA13,HNRNPH1,Glul,CPSF1,MAPK1,MTHFD2,K1C10,,CALB2
GNAI1,HNRNPH2,Gmds,CPSF2,RPS15,,ITIH4,,CALCOCO2
GNAI2,HNRNPH3,GMPPA,CPSF3,MAPK3,HMGA1,K22E,,CALCRL
GNAI3,HNRNPK,GMPPB,CPSF7,SEC31A,RPS19,HSPB1,,CALD1
GNAQ,HNRNPL,GMPR2,CPT1A,GPRC5C,ACTR3,HSP7C,,CALHM5
GNAS,HNRNPM,GNA13,CPT2,ADPRS,RAP1B,RAC1,,CALM1
GNB1,HNRNPR,GNAI1,CPVL,SMPDL3B,PTBP1,HSP74,,CALM2
GNB2,HNRNPU,GNAI2,CRABP1,OSBPL2,,PPIA,,CALM3
GNE,HNRNPUL1,Gnai3,CRBN,FUBP1,ACTN1,QOR,,CALR
GNG12,HNRNPUL2,Gnao1,CRIP1,UFC1,RAB14,A2MG,,CALU
GNPDA1,HOOK3,GNAQ,CRIP2,ENSECAG00000011095,SSR3,K2C8,,CAMK1
GNPDA2,HP1BP3,GNAS,CRK,RPS6KA3,RPS3,AOC3,,CAMK1D
GNPNAT1,HPX,Gnb1,CROT,PPP2R2A,TOMM22,SODC,,CAMK2D
GOLGA3,HRAS,Gnb2,CRPPA,NPEPL1,GNAI2,RL9,,CAMK2G
GOLGA4,HSD11B1,Gnb2l1,CRYAB,PSMD4,PHB,F10A1,,CAMLG
GOLGB1,HSD17B10,GNB4,CRYL1,UROD,,CFAB,,CAMP
GOLPH3,HSD17B12,GNE,CRYM,ARL1,GSTK1,AN32A,,CAMSAP2
GOLPH3L,HSD17B4,GNG12,CRYZL1,DBI,MYH14,IQGA1,,CAND1
GORASP1,HSD17B8,GNPDA1,CS,PRKAR2A,,GFPT1,,CAND2
GPCPD1,HSDL2,GNPDA2,CSAD,NAPRT,STRAP,MOES,,CANX
GPD1L,HSP90AA1,GNPNAT1,CSDE1,SPARCL1,RPL30,EF2,,CAP1
GPHN,HSP90AB1,GOLGA3,CSK,PGM3,,TAGL2,,CAP2
GPI,HSP90B1,GOLGA4,CSNK1A1,VNN1,SERPINB6,HS71A,,CAPG
GPM6B,HSPA2,GOLGB1,CSNK1E,FBLN1,APEX1,RS19,,CAPN1
GPRC5C,HSPA4,GOLPH3,CSNK2A1,NQO2,PFN2,HEMO,,CAPN2
GPS1,HSPA4L,GOLPH3L,CSNK2A2,GMPS,MRPS21,CYBP,,CAPN5
GRHPR,HSPA5,Gorasp1,CSNK2B,PBLD,ST13,RAN,,CAPN6
GRIPAP1,HSPA8,Gpc3,CSRP1,NIT1,SDF2L1,ANT3,,CAPN7
GSK3B,HSPA9,GPC4,CSTB,SPRED3,RPN1,DEST,,CAPNS1
GSN,HSPB1,GPCPD1,CTBS,FGG,CCDC186,CNDP2,,CAPRIN1
GSPT1,HSPD1,GPD1L,CTDP1,RHOA,LMAN2,CLUS,,CAPS
GSR,HSPG2,GPD2,CTH,GBE1,RPL29,CYTB,,CAPZA1
GSS,HSPH1,Gphn,CTNNB1,ENSECAG00000030135,ISOC1,PGAM1,,CAPZA2
GSTM4,HYOU1,Gpi,CTNNBL1,EIF2S1,HNRNPA3,ADHX,,CAPZB
GSTP1,IARS,Gpm6a,CTNND1,PRPSAP1,TAX1BP3,NDKB,,CARD19
GTF2I,idh1,Gpm6b,CTPS1,AARS1,DSTN,COPB2,,CARHSP1
GTPBP1,IDH2,GPRC5B,CTPS2,IAH1,ALDOC,EF1A1,,CARM1
GUK1,IDH3A,Gps1,CTR9,C21H5orf51,TKT,AL9A1,,CARMIL1
GYS1,IFT140,Gpx4,CTSA,PON1,NARS,6PGL,,CARS1
H6PD,IFT172,Grid2,CTSB,VPS29,EIF4B,COPG1,,CARS2
HADH,IFT22,GRIPAP1,CTSC,DYNC1I2,HADHA,A1AT,,CASK
HAGH,IFT52,Grn,CTSH,HEBP2,HSP90B1,K1C9,,CASP1
HAT1,IFT57,Gsk3b,CTSK,TUBB6,VCP,TPIS,,CASP3
HBB,IFT74,GSN,CTSZ,GLO1,PGLS,PTGR1,,CASP4
HDAC1,IFT80,GSPT1,CTTN,SAT2,HNRNPC,PSA6,,CASP6
HDDC3,IFT81,Gsr,CTTNBP2NL,SERPIND1,VDAC3,CRIP1,,CASP7
HDGF,IFT88,GSS,CTU2,PITPNA,,VTDB,,CASP8
HDHD2,ILF3,Gsta5,CUL1,NEDD8,,PA1B3,,CASP9
HDLBP,ILK,GSTM4,CUL2,RAB5B,SYNCRIP,KAD1,,CAST
HEATR5B,ILVBL,Gtpbp1,CUL3,NDRG2,GOT2,TKT,,CAT
HEBP1,IMMT,GUCY1B3,CUL4A,HERC4,DMAC1,AL1A1,,CAV1
HECTD1,IMPA1,GUK1,CUL5,CRYL1,MDH1,CAH2,,CAV2
HECTD4,IMPDH2,GULP1,CUTA,ENSECAG00000015938,EEF2,RS16,,CAVIN1
HERC4,INO80,GVINP1,CWC27,CLTA,LRRC59,RL8,,CAVIN2
HEXA,INPP5J,GYS1,CWF19L1,PCBD1,HNRNPA1,PSME1,,CAVIN3
HEXB,INPP5K,HACD3,CYFIP1,TTC17,RAB5B,K1M1,,CBFB
HGS,INSM1,Hars,CYFIP2,FETUB,SERPINH1,HBA,,CBL
HIBCH,IQCE,Hat1,CYGB,ANXA2,RPS26,RL40,,CBR1
HIF1AN,iqgap1,HDHD2,CYRIA,ACTR1A,RPS17,IDHC,,CBR3
HIP1R,IQGAP2,HDLBP,CYRIB,ENOPH1,CKAP4,GALM,,CBR4
HK1,ITGA3,HEATR5B,CZIB,FBP1,LOC475521,CO4,,CBS
HMGB1,ITGA6,HECTD1,D2HGDH,TES ,ARCN1,GDIR1,,CBX1
HMGB2,ITGB1,HECTD4,DAB2,ENSECAG00000025080,KRT72,1433Z,,CBX3
HMGCS1,ITGB3,HERC1,DAG1,EIF4A1,SND1,A1BG,,CBX5
HMGN1,ITGB4,HERC2,DALRD3,RPS20,FKBP11,EF1G,,CC2D1A
HNRNPA0,ITIH1,Herc4,DARS1,RAB1A,UBE2L3,PSA5,,CC2D1B
HNRNPA1,ITIH2,Hgs,DAZAP1,RPL29,PSMC2,CFAH,,CCAR1
HNRNPA2B1,ITIH4,HIF1AN,DBI,DBNL,ATP5F1B,HS90B,,CCAR2
HNRNPA3,IVD,Hip1r,DBN1,RNASEK,,RL24,,CCDC102A
HNRNPAB,JAKMIP1,Hist3h2ba,DBNL,LRG1,DYNLL1,FABP5,,CCDC115
HNRNPD,JCHAIN,Hkdc1,DBT,MRI1,KIAA1211,GMPPB,,CCDC124
HNRNPF,JUP,HLA-B,DCAF1,MTAP,LOC100855913,COPA,,CCDC170
HNRNPH1,KANK2,Hmgcs1,DCAF7,GUCY1B1,COPE,FKBP4,,CCDC186
HNRNPH2,KARS,Hnrnpa1,DCAF8,SPI2,DPYSL3,RL22,,CCDC22
HNRNPH3,KATNA1,HNRNPA2B1,DCN.1,PTER,PFN1,ANXA3,,CCDC39
HNRNPK,KCNG3,HNRNPA3,DCPS,OXCT1,PEBP1,KRT81,,CCDC47
HNRNPL,KCTD12,Hnrnpf,DCTD,YAP1,NONO,RB11A,,CCDC50
HNRNPM,KCTD18,Hnrnpk,DCTN2,TBCB,PDLIM7,TBB5,,CCDC6
HNRNPR,KCTD8,Hnrnpm,DCTN3,CYCS ,ANXA2,GBLP,,CCDC69
HNRNPU,KDELC2,Hnrnpu,DCTN4,THY1,THSD4,ANXA2,,CCDC80
HNRNPUL1,KHDRBS1,HOOK1,DCTN6,HNRNPAB,TUBA4A,TRFL,,CCDC88B
HNRNPUL2,KHDRBS2,HOOK2,DCUN1D1,RPL11,,SPSY,,CCDC93
HOOK1,KHDRBS3,Hook3,DCXR,NIF3L1,ZFHX3,IAH1,,CCN1
HOOK2,KHSRP,Hprt1,DDAH1,UBQLN1,GRPEL1,PRDX1,,CCNK
HOOK3,KIAA1217,Hras,DDAH2,TSC22D4,ACTR2,PRDX2,,CCNY
HPRT1,KIF21B,HSP90AA1,DDB1,ENSECAG00000000696,ELOC,AL1A2,,CCR1
HPX,KIF3A,Hsp90ab1,DDHD2,SUB1,ITGA6,ABHEB,,CCS
HSD17B10,KIF3B,HSPA14,DDI2,ENSECAG00000039827,LOC479459,TTHY,,CCT2
HSP90AA1,KIF5A,Hspa2,DDOST,ENSECAG00000038332,,RL27,,CCT3
HSP90AB1,KIF5B,HSPA4,DDX1,ANKFY1,SEC61A1,G3P,,CCT4
HSP90B1,KIF5C,HSPA4L,DDX17,RPS10,,TCPB,,CCT5
HSPA14,KIFAP3,HSPA5,DDX39A,CRABP1,PPIB,CERU,,CCT6A
HSPA1A,KNTC1,HSPA8,DDX39B,DYNC1LI2,VAPB,RL3,,CCT7
HSPA2,KPNA3,Hspa9,DDX42,RPS26,CMPK1,RS11,,CCT8
HSPA4,KPNA4,Hspb11,DDX46,ACTL6A,MYL9,PDC6I,,CCZ1B
HSPA4L,KPNB1,Hspbp1,DDX59,RSPH1,RPL21,COF1,,CD109
HSPA5,kras,HSPD1,DDX6,DYNLL1,COL5A2,HS105,,CD14
HSPA8,KRT1,HSPG2,DECR1,ENPP3,TBCB,TERA,,CD151
HSPA9,KRT13,HSPH1,DEK,CUL4B,ACO2,RSSA,,CD163
HSPB1,KRT14,HTATIP2,DENND10,CAB39,CNN2,RS5,,CD200
HSPB11,KRT16,Htra1,DENND4C,UBXN1,EIF4A1,PDXK,,CD209
HSPBP1,krt17,HTT,DENR,APIP,RAB2A,K2C1,,CD248
HSPD1,KRT18,HUWE1,DERA,APPL1,IRS1,CAND1,,CD276
HSPE1,KRT19,HYDIN,DES,C2H1orf50,SRSF2,TAGL,,CD2AP
HSPG2,KRT2,Hyou1,DFFA,BZW1,HSD17B10,TXNL1,,CD2BP2
HSPH1,KRT20,IARS,DGKA,FARSA,EIF3A,ENPL,,CD302
HTATIP2,krt222,IFIT5,DHDH,THNSL2,CYCS,B2MG,,CD320
HTRA1,KRT23,Ift122,DHFR,CLIC4,,ARF4,,CD34
HTT,KRT24,IFT46,DHRS7,SAE1,BLVRB,LV104,,CD36
HUWE1,KRT27,IFT52,DHTKD1,HEXD,TUBB,UBA1,,CD38
HYOU1,KRT3,Ift57,DHX15,SPA17,COLGALT1,1433E,,CD4
IDH1,KRT32,IFT74,DHX16,BDH2,TUBB2A,GSTM5,,CD40
IDH2,KRT33A,IFT80,DHX29,ALDOC,PGK1,NTF2,,CD44
IFIT5,KRT33B,IFT81,DHX30,CYRIB,RALA,HS74L,,CD46
IFT122,KRT35,Ift88,DHX36,ANXA11,RPS14,GELS,,CD47
IFT140,KRT36,IGBP1,DHX57,ENSECAG00000042372,CALR,CH3L1,,CD55
IFT172,KRT39,IGF2R,DHX9,PAXX,RPS12,DHPR,,CD58
IFT22,KRT4,IGHA1,DIABLO,AP1B1,HNRNPA2B1,PEBP1,,CD59
IFT46,KRT40,Ikbkap,DIAPH1,ITIH2,RPS7,CO3,,CD5L
IFT52,KRT5,IKBKB,DIAPH2,MAPRE1,,RS18,,CD63
IFT57,KRT6A,IKBKG,DIPK2A,RPL24,CPSF6,ALBU,,CD74
IFT74,KRT7,IL1RAP,DIS3,GPX4,MAPK1,KCRB,,CD81
IFT80,KRT72,Ilf2,DKC1,ENSECAG00000009162,RPL7,HPRT,,CD82
IFT81,KRT73,Ilk,DKK3,ENSECAG00000033043,DDX3X,TBB4B,,CD9
IFT88,KRT76,IMPA1,DLAT,TNFAIP8,SAR1B,IF4A2,,CDA
IGBP1,KRT77,IMPDH2,DLD,COPS8,HDLBP,APOA1,,CDAN1
IGF2R,KRT78,INADL,DLG1,FARSB,QDPR,MIF,,CDC16
IKBKB,KRT79,INPP5A,DLGAP4,ENSECAG00000036248,PSME3,CSRP1,,CDC26
IKBKG,KRT8,IPO11,DLST,ENSECAG00000009275,CAP1,KPYM,,CDC27
IL1RAP,KRT80,IPO4,DMTN,SHTN1,DPYSL4,PROF1,,CDC37
ILF2,KRT84,IPO5,DMXL1,ENSECAG00000017887,ACAT2,RUVB1,,CDC37L1
ILF3,KRT9,Ipo7,DNAAF4,PSMB10,VDAC1,CLH1,,CDC40
ILK,KTN1,IPO9,DNAH10,IRF3,LOC102154486,GSTP1,,CDC42
IMPA1,LACTB,IQGAP1,DNAH11,CRIP2,LOC477072,GSTM1,,CDC42BPB
IMPDH2,LAMA2,IQGAP2,DNAH12,CACYBP,CCT2,LDHB,,CDC42BPG
IPO11,LAMA5,IQSEC2,DNAH9,PLPBP,RPS21,CBR1,,CDC42EP1
IPO4,LAMB1,Iqub,DNAJA2,PDLIM1,LOC100856782,PCBP1,,CDC42EP4
IPO5,LAMB2,Ist1,DNAJA3,ENSECAG00000019719,NPM1,CLIC1,,CDC5L
IPO7,LAMC1,Itch,DNAJA4,PPP1R1B,,TIG1,,CDC73
IPO9,LANCL1,Itfg1,DNAJB1,GNAQ,ARF4,TRFE,,CDCP1
IQCE,LAP3,Itga6,DNAJB11,H2AC16,ALDOA,DX39B,,CDH1
IQGAP1,LARS,Itgav,DNAJB13,HMBS,,OVGP1,,CDH11
IQGAP2,LCK,ITGB1BP1,DNAJC13,EEA1,LGALS3,MYH9,,CDH13
IQSEC2,LDHA,Itgb5,DNAJC2,TUBA4A,ITGA5,FIBG,,CDH5
IST1,LDHB,Itpr3,DNAJC5,HNRNPA1,RACK1,TRY1,,CDIPT
ITCH,LGALS3,ITSN2,DNAJC7,SEPT7,,LDHA,,CDK11B
ITGA6,LIMA1,JAGN1,DNAL1,ELOB,RPS10,G6PI,,CDK14
ITGB1,LIMS1,Jup,DNM1,ENSECAG00000030595,LMNB1,TGM2,,CDK2
ITGB4,LIN7A,KARS,DNM1L,ZC2HC1A,NQO1,ACTN4,,CDK2AP1
ITIH1,LIN7C,KATNB1,DNM2,APOA2 ,TMEM65,ALBU,,CDK5
ITIH2,LIPH,kcnab2,DNPEP,SCLY,PLEC,CSRP1,,CDK5RAP3
ITIH4,LIPI,Kctd12,DOCK1,CDK6,PNP,RS19,,CDK6
JUP,LMAN1,KCTD21,DOCK7,HDDC3,DLA88,6PGD,,CDK9
KATNA1,LMAN2,Kdelr1,DOCK9,CD2AP,UBA1,SYTC,,CDKN1C
KATNB1,LMNA,KEAP1,DPH1,H2BC13,PSMD11,RS3A,,CDKN2AIP
KCTD12,LMNB1,KIAA0196,DPH2,ENSECAG00000016939,PSMD10,AL1A2,,CDKN2AIPNL
KHDRBS1,LMNB2,KIAA1033,DPH5,SGTA,ILF2,GSTM5,,CDS1
KHSRP,LOC101080257,KIAA1324,DPP3,AIMP1,SNRNP70,F12AI,,CDV3
KIAA1217,LOC101080312,Kiaa1598,DPP4,ITPA,RPL23,IMB1,,CEACAM8
KIF13B,LOC101080314,Kiaa2013,DPP7,TBCA,TXNL1,RS3,,CEBPZ
KIF21A,LOC101080561,KIDINS220,DPP8,RAB1B,HMGB1,IQGA1,,CELF1
KIF27,LOC101080736,KIF13B,DPP9,NAMPT,,RL22,,CELF2
KIF2A,LOC101080790,KIF15,DPYSL3,PDE6D,,RS5,,CEMIP2
KIF3A,LOC101080814,KIF19,DR1,UBA6,CANX,DEST,,CENPV
KIF3B,LOC101080976,KIF21A,DRG2,UFM1,FIS1,RS8,,CEP128
KIF5B,LOC101081013,KIF27,DSP,CALR,MYH3,AN32A,,CEP135
KIF5C,LOC101081066,Kif2a,DSTN,CNN2,,SBP1,,CEP170
KIFAP3,LOC101081129,KIF3A,DTD1,PPP1CB,MYL12A,OSTP,,CEP250
KLC1,LOC101081204,KIF3B,DTYMK,MDP1,CNBP,PSMD2,,CEP350
KLC4,LOC101081229,KIF5B,DYNC1H1,DYNC1LI1,HSPA5,MIPT3,,CEP43
KPNA3,LOC101081808,Kif9,DYNC1I2,ARPC3,CPT1A,HS105,,CEP76
KPNA4,LOC101081992,KLC1,DYNC1LI1,ATP5F1A,RPS16,HBA,,CEP85
KPNB1,LOC101082109,Klc4,DYNC1LI2,CCDC170,DYNC1I2,CBR1,,CEPT1
KRAS,LOC101082653,KNTC1,DYNC2H1,STARD5,H2AFZ,IF4A2,,CERCAM
KRIT1,LOC101082749,Kpna3,DYNLL1,SYNGAP1,SLC25A3,COPA,,CERS2
KRT18,LOC101083265,KPNB1,DYNLRB1,FSCN1,SNRPF,LV102,,CERT1
KRT19,LOC101083342,KPRP,DYNLT1,CYP26A1,ZYX,GMPPB,,CES1
KRT24,LOC101083514,kras,ECE1,ENSECAG00000017635,RNH1,PDC6I,,CES1P1
KRT5,LOC101083563,KRIT1,ECHDC1,ATP6V1G2,PCBP1,SYWC,,CES5A
KRT7,LOC101083875,KTN1,ECHS1,AKT2,EIF2S1,RL7,,CETN2
KRT8,LOC101083959,L3HYPDH,ECI1,EPB41L2,,RL40,,CFB
KRT80,LOC101084134,Lamb1,ECM1,RHPN2,PDIA3,PSA3,,CFD
KRT9,LOC101084193,LAMB2,ECPAS,AFMID,,GBLP,,CFDP1
KTN1,LOC101084194,LAMB3,EDC4,LYPLA2,FLNC,ARF4,,CFH
L3HYPDH,LOC101084270,LAMC1,EEF1A1,SIN3A,ATP5IF1,6PGL,,CFHR1
LAMA2,LOC101084876,Lamc2,EEF1B2,TPRKB,PPIAP4,PSME1,,CFHR2
LAMB2,LOC101084915,LANCL2,EEF1D,GPHN,EIF6,CK070,,CFI
LAMC1,LOC101085148,LARP1,EEF1D.1,TTN,HNRNPM,F10A1,,CFL1
LAMC2,LOC101085206,Lars,EEF1E1,ENSECAG00000036779,SF3A3,RL11,,CFL2
LANCL1,LOC101085207,LDHB,EEF1G,CTTN,GALK1,PSA4,,CGA
LANCL2,LOC101085247,Leprotl1,EEF2,CPA4,CSRP2,RL6,,CGB1
LAP3,LOC101085451,Lgals1,EEF2K,RADX,,PYGL,,CGN
LARP1,LOC101085453,LGALS3,EEFSEC,SIRT2,DBNL,PTGR1,,CHAMP1
LASP1,LOC101085717,Lgals9,EFCAB5,ZNF516,RPL6,RL3,,CHAT
LDHA,LOC101085837,LHPP,EFEMP1,CFAP54,SLC25A5,DX39B,,CHCHD1
LDHB,LOC101085975,Lims1,EFHD2,LAGE3,SARS,CAH1,,CHCHD2
LGALS3,LOC101086085,LIN7C,EFL1,PPIB,DDX5,IAH1,,CHCHD3
LHPP,LOC101086240,Llgl1,EFTUD2,NGLY1,ANXA5,GSTO1,,CHCHD4
LIMA1,LOC101086587,LLGL2,EGFR,USP12,RPLP0,UBE2N,,CHD1
LIN7A,LOC101086861,LMAN1,EGLN1,KCNB2,PDLIM1,VINC,,CHD4
LIN7C,LOC101086936,LMAN2,EHBP1L1,CLPX,IDH3B,ESTD,,CHDH
LLGL1,LOC101086971,Lman2l,EHD1,IMPACT,PDHB,CI064,,CHEK1
LLGL2,LOC101087008,LPP,EHD3,PHLPP2,VPS28,CRIP1,,CHERP
LMAN1,LOC101087114,LRBA,EIF1,SLC35G2,SLC1A5,PDIA3,,CHI3L1
LMAN2,LOC101087365,Lrp1,EIF1AX,PPAT,CSTB,CH3L1,,CHID1
LMNA,LOC101087401,LRRC16A,EIF2A,EIF3J,SRSF1,ITIH4,,CHKB
