BOVINE OF,FELINE OEV,PORCINE OEV,DUNNART OF,EQUINE OF,CANINE OEV,SHEEP OF,RABBIT OF,HUMAN OF
EXOC1,GDI2,EXOC4,COPS8,MARCKSL1,FLNA,RB11B,,BPNT1
EXOC3,GFAP,EXOC6,COPZ1,MAT2A,FLNB,RD23B,,BPNT2
EXOC4,GFPT1,EXOC6B,COQ9,MAT2B,FLNB,RENT1,,BRAT1
EXOC6,GGT1,Exoc7,CORO1A,MCTS1,FLNB,RET4,,BRCC3
EXOC6B,GIPC1,FAF2,CORO1C,MDH1,FLNC,RFC1,,BRD4
EXOC7,GLG1,Faim,CORO2A,MDH2,FLNC,RHOA,,BRD8
EZR,GLIPR2,FAM107B,CORO6,MDP1,FLNC,RHOC,,BRI3BP
F13A1,GLO1,FAM120A,COTL1,ME1,FNDC1,RIC1,,BRIX1
F2,GLOD4,FAM126A,CPB2,MEAK7,FNDC1,RINI,,BRK1
FABP3,GLUD1,Fam129b,CPD,MHCX1,FSCN1,RL10,,BRMS1L
FABP5,GLUL,Fam175b,CPN2,MIF,FSCN1,RL10A,,BROX
FAM107B,GLYCTK,FAM3C,CPNE3,MINAR1,FSCN1,RL11,,BRSK1
FAM120A,GMPPA,FAM49B,CPQ,MLLT6,FSIP1,RL12,,BRWD1
FAM3C,GMPPB,Fam65a,CPSF1,MOB1B,FUBP1,RL13,,BS1
FAM91A1,GNA11,FAM65B,CPSF2,MPI,FUS,RL13A,,BS4
FAM98A,GNA12,FAM84A,CPSF3,MPST,FXYD6,RL14,,BSCL2
FARP1,GNA13,FAM84B,CPSF7,MRI1,FXYD6,RL15,,BSDC1
FARSA,GNA14,Fam91a1,CPT1A,MSL3,G3BP1,RL18,,BSG
FARSB,GNAI1,FAM98A,CPT2,MSN,G3BP1,RL18A,,BST1
FASN,GNAI2,FARP1,CPVL,MTAP,G3BP1,RL19,,BST2
FBXO3,gnai3,FARSA,CRABP1,MTHFD1,G6PD,RL21,,BTD
FBXW9,GNAL,FARSB,CRBN,MTPN,G6PD,RL22,,BTF3
FERMT1,GNAQ,FASN,CRIP1,MUC1,G6PD,RL23,,BTF3L4
FERMT2,GNAS,FBXL18,CRIP2,MVB12A,GAL3ST4,RL23A,,BTK
FGA,GNAT1,FBXL20,CRK,MVP,GALE,RL24,,BTN3A3
FGB,GNAT2,FBXO3,CROT,MYH10,GALK1,RL26,,BUB3
FGG,GNAT3,FER,CRPPA,MYH9,GALK1,RL27,,BUD31
FH,GNAZ,FERMT1,CRYAB,MYL12A,GALK1,RL27A,,BYSL
FHL1,GNB1,FERMT2,CRYL1,MYL6,GAPDH,RL28,,BZW1
FKBP2,GNB2,Fgg,CRYM,MYLK,GAPDH,RL3,,BZW2
FKBP3,GNB4,FGR,CRYZL1,MYO6,GAPDH,RL30,,C11orf52
FKBP4,GNE,Fhl1,CS,NACA,GAPDHS,RL31,,C11orf54
FLII,GNG12,FIBP,CSAD,NAE1,GAPDHS,RL35A,,C11orf68
FLNA,GOLGB1,FKBP11,CSDE1,NAGK,GAPDHS,RL4,,C11orf96
FLNB,GOSR2,Fkbp2,CSK,NAMPT,GARS,RL5,,C12orf57
FLNC,GOT2,Fkbp3,CSNK1A1,NANS,GARS,RL6,,C17orf75
FLOT1,GPD1L,FKBP4,CSNK1E,NANS,GARS,RL7,,C19orf12
FMR1,GPI,FLNA,CSNK2A1,NAP1L1,GDI2,RL7A,,C19orf25
FN1,GPM6A,FLNB,CSNK2A2,NAP1L4,GDI2,RL8,,C19orf54
FN3KRP,GPT2,FLOT1,CSNK2B,NAPA,GDI2,RL9,,C1GALT1
FNTA,GRHPR,Flot2,CSRP1,NAPRT,GFPT2,RLA0,,C1orf198
FOLR1,GRID1,FMNL2,CSTB,NARS1,GLG1,RLA1,,C1orf50
FRK,GSN,Fmr1,CSTF2,NASP,GLG1,RLA2,,C1orf52
FRY,GSR,FN1,CTBS,NAXD,GLIPR2,RMXL1,,C1QA
FRYL,GSS,FNDC3A,CTDP1,NAXE,GLIPR2,ROA1,,C1QB
FSD1L,GSTK1,Fnta,CTH,NCKAP1,GLIPR2,ROA2,,C1QBP
FTH1,GSTP1,FOLH1B,CTNNB1,NCL,GLRX,ROA3,,C1QC
FUBP1,GTF2I,Frk,CTNNBL1,NDRG2,GLS,ROAA,,C1QL4
FUS,GUSB,FRY,CTNND1,NDRG4,GLS,RPC1,,C1QTNF6
FXR1,H3F3A,FRYL,CTPS1,NEDD8,GLUD1,RS11,,C1R
G6PD,H6PD,FSD1L,CTPS2,NGLY1,GLUD1,RS12,,C1RL
GAK,HACD3,FTH1,CTR9,NHLRC2,GLUD1,RS13,,C1S
GALK1,HADH,FUK,CTSA,NIBAN2,GMPPA,RS15A,,C2
GALM,HADHA,Fxr1,CTSB,NIF3L1,GNAI2,RS16,,C20orf27
GALNT12,HADHB,G6pdx,CTSC,NIT1,GNAI2,RS17L,,C2CD5
GALNT7,HAGH,Gak,CTSH,NIT2,GNAI2,RS18,,C3
GANAB,HARS,Galnt1,CTSK,NME2,GNAI3,RS19,,C4A
GAPDH,HBE1,GALNT12,CTSZ,NNMT,GNAI3,RS2,,C4B
GAPDHS,HBQ1,GALNT2,CTTN,NPEPL1,GNB2,RS20,,C4B_2
GART,HDAC1,GALNT3,CTTNBP2NL,NPEPPS,GNB2,RS23,,C4BPA
GBE1,HDAC2,GALNT4,CTU2,NQO1,GNG12,RS25,,C4BPB
GBF1,HDDC3,GALNT7,CUL1,NQO2,GOT2,RS26,,C5
GC,HDGF,GAPDH,CUL2,NRBP1,GOT2,RS27,,C5orf22
GCC2,HEBP1,Gars,CUL3,NSFL1C,GOT2,RS27A,,C6
GCLM,HELZ2,GART,CUL4A,NUCKS1,GPI,RS3,,C7
GDA,HEXA,Gas8,CUL5,NUDC,GPI,RS3A,,C7orf50
GDI1,HEXB,GBE1,CUTA,NUDCD3,GPI,RS4X,,C8A
GDI2,HIBCH,GBF1,CWC27,NUDT16,GPX8,RS5,,C8B
GEMIN5,HK1,GCC2,CWF19L1,NUDT2,GPX8,RS6,,C8G
GFAP,HK2,Gclm,CYFIP1,NUDT3,GPX8,RS7,,C8orf82
GFOD2,HKDC1,GCN1L1,CYFIP2,NUDT5,GRPEL1,RS8,,C9
GFPT1,HM13,Gcnt3,CYGB,NUDT9,GRPEL1,RS9,,C9orf64
GGT1,HMGB1,Gda,CYRIA,NUTF2,GRPEL1,RSSA,,CA1
GIPC1,HMGB2,GDI1,CYRIB,OGA,GSE1,RUVB1,,CA14
GIT1,HMGCL,GEMIN5,CZIB,OLA1,GSTK1,RUVB2,,CA2
GLIPR2,HMGN1,get4-a,D2HGDH,OPLAH,GSTM3,RYR2,,CA3
GLO1,HMOX2,Gfod2,DAB2,OSBPL2,GSTM3,RYR2,,CA4
GLOD4,HNRNPA0,GIPC1,DAG1,OSCP1,GSTM4,S100B,,CAB39
GLUD1,HNRNPA1,GIT1,DALRD3,OSGEP,GSTM4,S10A1,,CAB39L
GLUL,HNRNPA2B1,Gja1,DARS1,OTUB1,GSTO1,S10A2,,CABIN1
GMDS,HNRNPA3,GLG1,DAW1,OXCT1,GSTO1,S10A4,,CACNA2D1
GMPPA,HNRNPAB,GLIPR2,DAZAP1,OXSR1,GSTP1,S10AB,,CACUL1
GMPPB,HNRNPC,Glod4,DBI,P4HB,GSTP1,S14L3,,CACYBP
GMPR2,HNRNPD,GLT8D1,DBN1,PA2G4 ,GSTP1,S27A5,,CAD
GNA11,HNRNPF,GLUD1,DBNL,PABPC4,GXYLT1,S45A3,,CADM1
GNA13,HNRNPH1,Glul,DBT,PACSIN2,GXYLT2,SAE1,,CALB2
GNAI1,HNRNPH2,Gmds,DCAF1,PAFAH1B1,H2AFJ,SAE2,,CALCOCO2
GNAI2,HNRNPH3,GMPPA,DCAF7,PAFAH1B2,H2AFX,SAHH,,CALCRL
GNAI3,HNRNPK,GMPPB,DCAF8,PAFAH1B3,H2AFX,SBDS,,CALD1
GNAQ,HNRNPL,GMPR2,DCN.1,PAICS,H2AFZ,SBP1,,CALHM5
GNAS,HNRNPM,GNA13,DCPS,PAK2,H2AFZ,SC23B,,CALM1
GNB1,HNRNPR,GNAI1,DCTD,PAPSS1,H2AFZ,SCAPE,,CALM2
GNB2,HNRNPU,GNAI2,DCTN2,PARK7,HADH,SDCB1,,CALM3
GNE,HNRNPUL1,Gnai3,DCTN3,PAXX,HADH,SERA,,CALR
GNG12,HNRNPUL2,Gnao1,DCTN4,PBDC1,HADH,SERB,,CALU
GNPDA1,HOOK3,GNAQ,DCTN6,PBLD,HADHA,SERC,,CAMK1
GNPDA2,HP1BP3,GNAS,DCUN1D1,PCBD1,HADHA,SET,,CAMK1D
GNPNAT1,HPX,Gnb1,DCXR,PCBP2,HADHA,SF3B3,,CAMK2D
GOLGA3,HRAS,Gnb2,DDAH1,PCMT1,HADHB,SFPQ,,CAMK2G
GOLGA4,HSD11B1,Gnb2l1,DDAH2,PCNP,HADHB,SH3L1,,CAMLG
GOLGB1,HSD17B10,GNB4,DDB1,PDAP1,HDGF,SH3L2,,CAMP
GOLPH3,HSD17B12,GNE,DDHD2,PDCD4,HDGF,SH3L3,,CAMSAP2
GOLPH3L,HSD17B4,GNG12,DDI2,PDCD5,HDHD2,SIAS,,CAND1
GORASP1,HSD17B8,GNPDA1,DDOST,PDCD6,HDLBP,SKOR1,,CAND2
GPCPD1,HSDL2,GNPDA2,DDX1,PDCD6IP,HDLBP,SKP1,,CANX
GPD1L,HSP90AA1,GNPNAT1,DDX17,PDCD6IP,HDLBP,SMD2,,CAP1
GPHN,HSP90AB1,GOLGA3,DDX39A,PDE6D,HINT1,SMD3,,CAP2
GPI,HSP90B1,GOLGA4,DDX39B,PDIA3,HINT1,SND1,,CAPG
GPM6B,HSPA2,GOLGB1,DDX42,PDIA4,HIST1H1A,SNX12,,CAPN1
GPRC5C,HSPA4,GOLPH3,DDX46,PDIA6,HIST1H1C,SNX5,,CAPN2
GPS1,HSPA4L,GOLPH3L,DDX59,PDLIM1,HIST1H1C,SODC,,CAPN5
GRHPR,HSPA5,Gorasp1,DDX6,PDXK,HIST1H1C,SPA33,,CAPN6
GRIPAP1,HSPA8,Gpc3,DECR1,PEA15,HIST1H2BJ,SPA38,,CAPN7
GSK3B,HSPA9,GPC4,DEK,PEBP1,HIST2H2AC,SPB10,,CAPNS1
GSN,HSPB1,GPCPD1,DENND10,PEF1,HIST2H2AC,SPB5,,CAPRIN1
GSPT1,HSPD1,GPD1L,DENND4C,PEPD,HK1,SPEE,,CAPS
GSR,HSPG2,GPD2,DENR,PFAS,HK1,SPON1,,CAPZA1
GSS,HSPH1,Gphn,DERA,PFDN2,HM13,SPRE,,CAPZA2
GSTM4,HYOU1,Gpi,DES,PFDN4,HMCN2,SPSY,,CAPZB
GSTP1,IARS,Gpm6a,DFFA,PFDN5,HMGA1,SRBS2,,CARD19
GTF2I,idh1,Gpm6b,DGKA,PFDN6,HMGA1,SRPK1,,CARHSP1
GTPBP1,IDH2,GPRC5B,DHDH,PFKL,HMGB1,SRSF3,,CARM1
GUK1,IDH3A,Gps1,DHFR,PFKM ,HMGB1,SRSF7,,CARMIL1
GYS1,IFT140,Gpx4,DHRS7,PFKP,HMGB1,ST1A1,,CARS1
H6PD,IFT172,Grid2,DHTKD1,PFN1,HMGB3,STAT1,,CARS2
HADH,IFT22,GRIPAP1,DHX15,PFN2,HNRNPA1,STAT3,,CASK
HAGH,IFT52,Grn,DHX16,PGAM1,HNRNPA1,STIP1,,CASP1
HAT1,IFT57,Gsk3b,DHX29,PGD,HNRNPA1,SUGT1,,CASP3
HBB,IFT74,GSN,DHX30,PGFS ,HNRNPA2B1,SUMO2,,CASP4
HDAC1,IFT80,GSPT1,DHX36,PGGT1B,HNRNPA2B1,SYAC,,CASP6
HDDC3,IFT81,Gsr,DHX57,PGK1,HNRNPA2B1,SYDC,,CASP7
HDGF,IFT88,GSS,DHX9,PGLS,HNRNPA3,SYEP,,CASP8
HDHD2,ILF3,Gsta5,DIABLO,PGM1,HNRNPA3,SYG,,CASP9
HDLBP,ILK,GSTM4,DIAPH1,PGM2,HNRNPA3,SYHC,,CAST
HEATR5B,ILVBL,Gtpbp1,DIAPH2,PGM2L1,HNRNPAB,SYIC,,CAT
HEBP1,IMMT,GUCY1B3,DIPK2A,PGM3,HNRNPC,SYK,,CAV1
HECTD1,IMPA1,GUK1,DIS3,PGP,HNRNPC,SYMC,,CAV2
HECTD4,IMPDH2,GULP1,DKC1,PHGDH,HNRNPD,SYNC,,CAVIN1
HERC4,INO80,GVINP1,DKK3,PHKG2,HNRNPD,SYQ,,CAVIN2
HEXA,INPP5J,GYS1,DLAT,PHLPP2,HNRNPD,SYRC,,CAVIN3
HEXB,INPP5K,HACD3,DLD,PHPT1,HNRNPDL,SYSC,,CBFB
HGS,INSM1,Hars,DLG1,PHYHD1,HNRNPF,SYTC,,CBL
HIBCH,IQCE,Hat1,DLGAP4,PI4KA,HNRNPF,SYVC,,CBR1
HIF1AN,iqgap1,HDHD2,DLST,PIP4K2C,HNRNPH1,SYWC,,CBR3
HIP1R,IQGAP2,HDLBP,DMTN,PIP4K2C,HNRNPH1,TAGL,,CBR4
HK1,ITGA3,HEATR5B,DMXL1,PITHD1,HNRNPH1,TAGL2,,CBS
HMGB1,ITGA6,HECTD1,DNAAF1,PITPNA,HNRNPH3,TALDO,,CBX1
HMGB2,ITGB1,HECTD4,DNAAF2,PKHD1L1,HNRNPH3,TBA1A,,CBX3
HMGCS1,ITGB3,HERC1,DNAAF3,PKM,HNRNPH3,TBA4A,,CBX5
HMGN1,ITGB4,HERC2,DNAAF4,PLCD1,HNRNPK,TBB3,,CC2D1A
HNRNPA0,ITIH1,Herc4,DNAAF5,PLG ,HNRNPK,TBB4A,,CC2D1B
HNRNPA1,ITIH2,Hgs,DNAH1,PLIN3,HNRNPK,TBB4B,,CCAR1
HNRNPA2B1,ITIH4,HIF1AN,DNAH10,PLIN4,HNRNPL,TBB5,,CCAR2
HNRNPA3,IVD,Hip1r,DNAH11,PLPBP,HNRNPL,TCPA,,CCDC102A
HNRNPAB,JAKMIP1,Hist3h2ba,DNAH12,PLS3,HNRNPL,TCPB,,CCDC115
HNRNPD,JCHAIN,Hkdc1,DNAH5,PLTP,HNRNPM,TCPD,,CCDC124
HNRNPF,JUP,HLA-B,DNAH6,PMM2,HNRNPM,TCPE,,CCDC170
HNRNPH1,KANK2,Hmgcs1,DNAH7,PNPO,HNRNPM,TCPG,,CCDC186
HNRNPH2,KARS,Hnrnpa1,DNAH9,PON1,HNRNPU,TCPH,,CCDC22
HNRNPH3,KATNA1,HNRNPA2B1,DNAI1,PPA1,HNRNPU,TCPQ,,CCDC39
HNRNPK,KCNG3,HNRNPA3,DNAI2,PPAT,HNRNPU,TCPZ,,CCDC47
HNRNPL,KCTD12,Hnrnpf,DNAJA2,PPIA,HNRNPUL2,TCTP,,CCDC50
HNRNPM,KCTD18,Hnrnpk,DNAJA3,PPIB,HPRT1,TEBP,,CCDC6
HNRNPR,KCTD8,Hnrnpm,DNAJA4,PPID,HPRT1,TENS4,,CCDC69
HNRNPU,KDELC2,Hnrnpu,DNAJB1,PPM1B,HSD17B10,TERA,,CCDC80
HNRNPUL1,KHDRBS1,HOOK1,DNAJB11,PPM1J,HSD17B10,TETN,,CCDC88B
HNRNPUL2,KHDRBS2,HOOK2,DNAJB13,PPME1,HSD17B10,TGM2,,CCDC93
HOOK1,KHDRBS3,Hook3,DNAJC13,PPP1CA,HSD17B12,THBG,,CCN1
HOOK2,KHSRP,Hprt1,DNAJC2,PPP1CB,HSD17B12,THIL,,CCNK
HOOK3,KIAA1217,Hras,DNAJC5,PPP1R1B,HSP90AA1,THIO,,CCNY
HPRT1,KIF21B,HSP90AA1,DNAJC7,PPP1R7,HSP90AA1,THRB,,CCR1
HPX,KIF3A,Hsp90ab1,DNAL1,PPP2CB,HSP90AA1,TIG1,,CCS
HSD17B10,KIF3B,HSPA14,DNALI1,PPP2R1A,HSP90AB1,TIMP2,,CCT2
HSP90AA1,KIF5A,Hspa2,DNM1,PPP2R2A,HSP90AB1,TITIN,,CCT3
HSP90AB1,KIF5B,HSPA4,DNM1L,PPP3R1,HSP90AB1,TITIN,,CCT4
HSP90B1,KIF5C,HSPA4L,DNM2,PPP6R1,HSP90B1,TITIN,,CCT5
HSPA14,KIFAP3,HSPA5,DNPEP,PRDX1,HSP90B1,TKT,,CCT6A
HSPA1A,KNTC1,HSPA8,DOCK1,PRDX2,HSP90B1,TLN1,,CCT7
HSPA2,KPNA3,Hspa9,DOCK7,PRDX5,HSPA13,TM1L1,,CCT8
HSPA4,KPNA4,Hspb11,DOCK9,PRDX6,HSPA4,TNPO1,,CCZ1B
HSPA4L,KPNB1,Hspbp1,DPH1,PREP,HSPA4L,TNPO1,,CD109
HSPA5,kras,HSPD1,DPH2,PRKACB,HSPA4L,TOM1,,CD14
HSPA8,KRT1,HSPG2,DPH5,PRKAR1A,HSPA5,TPD52,,CD151
HSPA9,KRT13,HSPH1,DPP3,PRKAR2A,HSPA5,TPIS,,CD163
HSPB1,KRT14,HTATIP2,DPP4,PRKCA,HSPA5,TPM4,,CD200
HSPB11,KRT16,Htra1,DPP7,PRMT1,HSPA8,TPMT,,CD209
HSPBP1,krt17,HTT,DPP8,PRMT5,HSPA8,TPPP3,,CD248
HSPD1,KRT18,HUWE1,DPP9,PRPF19,HSPA8,TRFE,,CD276
HSPE1,KRT19,HYDIN,DPYSL3,PRPS2,HSPA9,TRFE,,CD2AP
HSPG2,KRT2,Hyou1,DR1,PRPSAP1,HSPA9,TRFL,,CD2BP2
HSPH1,KRT20,IARS,DRG2,PRRC1,HSPA9,TRFL,,CD302
HTATIP2,krt222,IFIT5,DSP,PRUNE1,HSPB1,TRHY,,CD320
HTRA1,KRT23,Ift122,DSTN,PSAT1,HSPB1,TRI34,,CD34
HTT,KRT24,IFT46,DTD1,PSMA1,HSPB1,TRIPB,,CD36
HUWE1,KRT27,IFT52,DTYMK,PSMA2,HSPBP1,TRY1,,CD38
HYOU1,KRT3,Ift57,DYNC1H1,PSMA3,HSPD1,TSP1,,CD4
IDH1,KRT32,IFT74,DYNC1I2,PSMA4,HSPD1,TSP4,,CD40
IDH2,KRT33A,IFT80,DYNC1LI1,PSMA5,HSPD1,TTHY,,CD44
IFIT5,KRT33B,IFT81,DYNC1LI2,PSMA6,HYOU1,TTL12,,CD46
IFT122,KRT35,Ift88,DYNC2H1,PSMA7,HYOU1,TUB,,CD47
IFT140,KRT36,IGBP1,DYNC2LI1,PSMB1,HYOU1,TWF1,,CD55
IFT172,KRT39,IGF2R,DYNLL1,PSMB10,IDH2,TXNL1,,CD58
IFT22,KRT4,IGHA1,DYNLRB1,PSMB2,IDH3A,TYB10,,CD59
IFT46,KRT40,Ikbkap,DYNLT1,PSMB4,IDH3A,TYB4,,CD5L
IFT52,KRT5,IKBKB,ECE1,PSMB5,IDH3A,UB2D3,,CD63
IFT57,KRT6A,IKBKG,ECHDC1,PSMB6,IDH3B,UB2L3,,CD74
IFT74,KRT7,IL1RAP,ECHS1,PSMB7,IDH3G,UB2V1,,CD81
IFT80,KRT72,Ilf2,ECI1,PSMB8,IGSF9,UBA1,,CD82
IFT81,KRT73,Ilk,ECM1,PSMB9,ILF2,UBA6,,CD9
IFT88,KRT76,IMPA1,ECPAS,PSMC1,ILF2,UBC9,,CDA
IGBP1,KRT77,IMPDH2,EDC4,PSMC2,ILF2,UBE2N,,CDAN1
IGF2R,KRT78,INADL,EEF1A1,PSMC3,IMMT,UBP5,,CDC16
IKBKB,KRT79,INPP5A,EEF1B2,PSMC4,IMPDH2,UGPA,,CDC26
IKBKG,KRT8,IPO11,EEF1D,PSMC5,IPO7,UK114,,CDC27
IL1RAP,KRT80,IPO4,EEF1D.1,PSMC6,IPO7,UN45A,,CDC37
ILF2,KRT84,IPO5,EEF1E1,PSMD1,IQGAP1,USO1,,CDC37L1
ILF3,KRT9,Ipo7,EEF1G,PSMD11,IQGAP1,VASP,,CDC40
ILK,KTN1,IPO9,EEF2,PSMD12,IQGAP1,VATA,,CDC42
IMPA1,LACTB,IQGAP1,EEF2K,PSMD13,IRS1,VATE1,,CDC42BPB
IMPDH2,LAMA2,IQGAP2,EEFSEC,PSMD2,IRS2,VGFR3,,CDC42BPG
IPO11,LAMA5,IQSEC2,EFCAB5,PSMD3,ISOC1,VIGLN,,CDC42EP1
IPO4,LAMB1,Iqub,EFEMP1,PSMD4,ISOC1,VIME,,CDC42EP4
IPO5,LAMB2,Ist1,EFHD2,PSMD5,ISOC2,VINC,,CDC5L
IPO7,LAMC1,Itch,EFL1,PSMD6,ITGA5,VIP1,,CDC73
IPO9,LANCL1,Itfg1,EFTUD2,PSMD7,ITGA5,VP26A,,CDCP1
IQCE,LAP3,Itga6,EGFR,PSMD9,ITGA5,VPS11,,CDH1
IQGAP1,LARS,Itgav,EGLN1,PSME1,ITGA6,VPS35,,CDH11
IQGAP2,LCK,ITGB1BP1,EHBP1L1,PSME2,ITGA6,VPS4B,,CDH13
IQSEC2,LDHA,Itgb5,EHD1,PSPH,ITGB1,VTDB,,CDH5
IST1,LDHB,Itpr3,EHD3,PTBP1,ITGB1,VTNC,,CDIPT
ITCH,LGALS3,ITSN2,EIF1,PTER,ITGB1,WDFY3,,CDK11B
ITGA6,LIMA1,JAGN1,EIF1AX,PTGES3,KARS,WDR1,,CDK14
ITGB1,LIMS1,Jup,EIF2A,PTGR1,KIAA1211,XPO2,,CDK2
ITGB4,LIN7A,KARS,EIF2B1,PTGR2,KIF12,XPO6,,CDK2AP1
ITIH1,LIN7C,KATNB1,EIF2B2,PTPA,KIF20B,XPP1,,CDK5
ITIH2,LIPH,kcnab2,EIF2B3,PTPN11,KIF20B,YBOX1,,CDK5RAP3
ITIH4,LIPI,Kctd12,EIF2B4,PURA,KIF5B,ZC3H1,,CDK6
JUP,LMAN1,KCTD21,EIF2B5,PUS1,KLHDC3,,,CDK9
KATNA1,LMAN2,Kdelr1,EIF2D,PYCR3,KLHL13,,,CDKN1C
KATNB1,LMNA,KEAP1,EIF2S1,PYGB,KPNB1,,,CDKN2AIP
KCTD12,LMNB1,KIAA0196,EIF2S2,PYGL,KRT1,,,CDKN2AIPNL
KHDRBS1,LMNB2,KIAA1033,EIF2S3,QARS1,KRT1,,,CDS1
KHSRP,LONP1,KIAA1324,EIF3A,QDPR,KRT1,,,CDV3
KIAA1217,LONRF3,Kiaa1598,EIF3B,RAB11B,KRT10,,,CEACAM8
KIF13B,LPAR3,Kiaa2013,EIF3D,RAB11FIP1,KRT10,,,CEBPZ
KIF21A,LRBA,KIDINS220,EIF3E,RAB14,KRT10,,,CELF1
KIF27,LRGUK,KIF13B,EIF3F,RAB1A,KRT14,,,CELF2
KIF2A,LRIF1,KIF15,EIF3G,RAB1B,KRT17,,,CEMIP2
KIF3A,LRIG1,KIF19,EIF3I,RAB35,KRT18,,,CENPV
KIF3B,LRPAP1,KIF21A,EIF3K,RAB5A,KRT18,,,CEP128
KIF5B,LRRC23,KIF27,EIF3L,RAB5B,KRT18,,,CEP135
KIF5C,LRRC34,Kif2a,EIF3M,RAB5C,KRT4,,,CEP170
KIFAP3,LRRC40,KIF3A,EIF4A1,RAB7A,KRT4,,,CEP250
KLC1,LRRC45,KIF3B,EIF4A2,RAB8B,KRT5,,,CEP350
KLC4,LRRFIP1,KIF5B,EIF4B,RABEP2,KRT5,,,CEP43
KPNA3,LSM8,Kif9,EIF4E,RAC1,KRT6A,,,CEP76
KPNA4,LTA4H,KLC1,EIF4E2,RACK1,KRT72,,,CEP85
KPNB1,LTF,Klc4,EIF4G1,RAD23A,KRT72,,,CEPT1
KRAS,LYRM1,KNTC1,EIF4G2,RAD23B,KRT72,,,CERCAM
KRIT1,M6PR,Kpna3,EIF4G3,RADX,KRT75,,,CERS2
KRT18,MAFK,KPNB1,EIF4H,RALB,KRT76,,,CERT1
KRT19,magoh,KPRP,EIF5,RAN,KRT78,,,CES1
KRT24,MAGOHB,kras,EIF5A,RANBP1,KRT78,,,CES1P1
KRT5,MAGT1,KRIT1,EIF5B,RAP1B,KRT78,,,CES5A
KRT7,MAK,KTN1,EIF6,RAP1GAP2,KRT8,,,CETN2
KRT8,MAN2B1,L3HYPDH,EIPR1,RAP1GDS1,KRT8,,,CFB
KRT80,MANF,Lamb1,ELAVL1,RARRES2,KRT83,,,CFD
KRT9,MAOA,LAMB2,ELMO2,RARS1,KRT89,,,CFDP1
KTN1,MAOB,LAMB3,ELMO3,RBKS,KRT9,,,CFH
L3HYPDH,MAP3K3,LAMC1,ELOB,RBM12,KRT9,,,CFHR1
LAMA2,MAP7D3,Lamc2,ELOC,RBP5,KRT9,,,CFHR2
LAMB2,MAP9,LANCL2,ELP1,RDX,KRTCAP2,,,CFI
LAMC1,MAPK15,LARP1,ELP2,RENBP,LAMP1,,,CFL1
LAMC2,MAPK9,Lars,ELP3,RHOA,LAMP1,,,CFL2
LANCL1,MARC1,LDHB,EMC1,RHPN2,LDHA,,,CGA
LANCL2,MARC2,Leprotl1,EMD,RIDA,LDHA,,,CGB1
LAP3,MARS,Lgals1,EML1,RNASEH1,LDHA,,,CGN
LARP1,MAT2A,LGALS3,EML2,RNASEK,LDHB,,,CHAMP1
LASP1,MATR3,Lgals9,EML3,RNH1,LGALS1,,,CHAT
LDHA,MCCC1,LHPP,EML4,RNPEP,LGALS1,,,CHCHD1
LDHB,MCCC2,Lims1,EML6,RO60,LGALS1,,,CHCHD2
LGALS3,MDM1,LIN7C,ENDOD1,ROCK1,LGALS3,,,CHCHD3
LHPP,ME2,Llgl1,ENDOG,RPL10,LGALS3,,,CHCHD4
LIMA1,ME3,LLGL2,ENO3,RPL10A,LGALS3,,,CHD1
LIN7A,MECP2,LMAN1,ENPP4,RPL11,LIMS1,,,CHD4
LIN7C,MECR,LMAN2,EPB41,RPL13,LIMS1,,,CHDH
LLGL1,MED14,Lman2l,EPB41L1,RPL13A,LIX1L,,,CHEK1
LLGL2,MELTF,LPP,EPB41L2,RPL14,LMAN2,,,CHERP
LMAN1,MESDC2,LRBA,EPB41L3,RPL15,LMAN2,,,CHI3L1
LMAN2,MFGE8,Lrp1,EPB41L5,RPL17-C18orf32,LMNA,,,CHID1
LMNA,MGST2,LRRC16A,EPCAM,RPL18,LMNA,,,CHKB
LMNB1,MLEC,Lrrc18,EPM2AIP1,RPL18A,LMNA,,,CHMP1A
LMNB2,MLF1,Lrrc23,EPN2,RPL21,LMNB1,,,CHMP1B
LPAR3,MLF2,LRRC59,EPN3,RPL22,LMNB1,,,CHMP2A
LPP,MLIP,LRRC6,EPPK1,RPL23,LMNB1,,,CHMP2B
LRBA,MORC1,LRRC71,EPRS1,RPL24,LMTK2,,,CHMP3
LRPAP1,MOSPD1,Lrrfip1,EPS15,RPL26,LMTK2,,,CHMP4A
LRRC23,MPC2,LRSAM1,EPS15L1,RPL27,LOC474472,,,CHMP4B
LRRC40,MPDU1,LTA4H,EPS8L1,RPL27A,LOC474938,,,CHMP5
LRRC45,MPP2,LTN1,EPS8L2,RPL28,LOC474938,,,CHMP6
LRRC59,MRTO4,Lyn,EPX,RPL29,LOC474938,,,CHORDC1
LRRC6,MSN,Lztfl1,ERAP1,RPL3,LOC475521,,,CHP1
LRRC71,MTCH1,MACF1,ERC1,RPL30,LOC475521,,,CHPF
LRRFIP1,MTDH,Maea,ERGIC1,RPL31,LOC475521,,,CHRAC1
LRSAM1,MTHFD1,MAGED2,ERGIC3,RPL32,LOC475916,,,CHSY1
LSM8,MTMR9,MAGT1,ERI3,RPL35,LOC475916,,,CHTOP
LTA4H,MTOR,MAN1A2,ERLEC1,RPL36A-HNRNPH2,LOC475937,,,CHUK
